	Review
2442	"Overall, I believe that Kmart is a good place to work, though not necessarily a stand-out. It\'s kind of a ""comfortable"" environment and there isn\'t too much to really complain about. \rTraining was excellent. They really ensure that you have the support that you need while giving you real customer facing experience. They didn\'t seem to mind giving team members that really knew what they were doing additional training in other departments as well. \rThe job is incredibly straight forward, although occasionally very \'busy\' and you can find yourself with a million things to do at once, so it never gets boring and there\'s always a bit of a challenging sort of aspect to the job.\rI believe that I worked at the same store as a reviewer that stated that there is a very \'family\' sort of feeling within the team, which is true to an extent with some minor exemptions. I think that with such a generally young group of employees there can be a bit of \'drama\' and I became aware of a few incidences during my employment where coworkers had been harassed and the issue wasn\'t dealt with properly. \rManagement were, for the most part, pretty okay. They were generally very supportive and wanted to see you doing well. There were a lot of changes in management, and honestly I don\'t think many managers even knew my name, but usually they were quite professional. Every so often a manager of a department you weren\'t a part of would dump a large workload on you or crack it at you for almost no reason, but it was never anything impossible to handle. \rPay is reasonable, although it\'s occasionally a battle\xa0-\xa0more..."
3941	"I worked for Myer, Hurstville as a Christmas Casual from Nov 2012 to Jan 2013 during that time I had the position of Sales Assistant working only in Women\'s wear mainly with the duty of Women\'s wear fitting rooms attendant which entailed firstly security re theft, detailing unpurchased stock back onto the floor for resale and categorizing the different sections e.g. Miss Shop for easy distribution back onto floor, occasionally working on POST, customer service, sales & detailing Store during that period for open & close(all re WH&S). What I learned, not much, as I nearly always worked Women\'s fitting rooms, rarely POST and didn\'t work in any other depts. in the Store during my employment with Myer. I unfortunately disagreed with the 2IC of the Store (he has now left) regarding his roster distribution and after that didn\'t received any shifts at all, I finished my casual employment the end of February 2013 and then was emailed I was in their ""Talent Pool"" for Christmas Casual this upcoming year 2013. I did get to the first stage of recruitment for this year 2013 re Group Interview but was not employed this year by them, I am quite sure because of Hurstville Store Management. I liked working with the Full time/Casual team,( have made friends too that I still keep in contact with through working there) and other co workers re all depts. that I was in contact with and the rest of Management other than the 2IC I got on with. The hardest part of the position re Fitting Rooms was on Special Events and leading up to Christmas the busy pace regarding helping customers, watching for theft\xa0-\xa0more..."
5728	"I started as a team member at the Timber yard as I have a forklift license and they needed someone to do forklift driving to assist customers complete purchases. This was fine until it became a burden to do the job as there were not enough staff to complete the job as I needed a ""spotter"" whenever I had to operate the forklift. It always took a lot of time and pressure on other staff to come as ""spotters"" because not everyone is trained and certified to do this job too. This situation always triggered some irritation and unpleasant times with some customers and I always tried to reason with the customers but some just left their goods because they could not wait or elevated their complaints to a manager.I was classified as a ""Qualified Electrician"" by the company and that is my main trade but I was never assigned to the Electrical department since I joined the company.I am often called upon, though, to sort out complicated questions in the electrical department as well as some of the other sections in the store like the plumbing, painting and tools sections.Despite all these, I enjoy working at Bunnings because talking and trying to deal with other people\'s concerns is always a learning process to me. There is also the opportunity to meet other team members who share a common passion for working hard, having some humor thrown around sometimes at each other and learning about new products and trends in the market.The safety to the risks involved in such a working environment as Bunnings should be reviewed by management. Heavy lifting, exposure to the elements like cold wind/rain\xa0-\xa0more..."
1310	"Kmart is a good place to work when you are just starting out and have no prior experience. The younger staff are prioritised with shifts, yet only 3-hour blocks will be given, and the pay is in the medium range compared to other companies with similar work expectations. Kmart are quite flexible and it is not difficult to cancel or swap shifts should something come up, and due to the large number of staff, management are quite understanding of cancellations. Three hour blocks in the middle of the day can be a frustrating shift to work, as it does honestly waste your whole day, as longer shifts are usually not given. \r Management really dislike their job and often treat staff poorly, and little to no training is given, resulting in frustrated customers and displeased team leaders. Had many experiences where favouritism was obvious, with a strong clique culture in the store. Usually the staff who work the hardest are belittled or ignored, and absolutely no praise or even a thank you at the end of the shift is given, which can be infuriating when you see managers constantly standing around having irrelevant conversations with favouritised team members, then telling others off for ""not working"" which is clearly unfair. Had plenty of experiences of working super hard in apparel, barely speaking to a single team member for two hours, then returning to the fitting rooms to collect returns and being told off for saying a quick hello to the team member in the fitting rooms and \'laughing\' for less than two minutes. Utterly disappointing and ridiculous. What kind of work culture are the\xa0-\xa0more..."
3571	One supervisor hated me. I suspect she doctored my punched-in hours so I was short-changed in one of my fortnightly pays. She would scream at me as a first resort- when I had just arrived and put my water bottle down where other people placed theirs, I had my handbag in my hand. She screamed at me to get my stuff out, even though I was clearly going to the locker area upstairs with my bag like everyone else. There was no set time for breaks, as it was updated on a social media work group that I was never invited to- so she would scream at me to go on break in front of everyone. I was told to fix packages other people had done badly, as if I had done it. She and her other supervisor friend would stand right in my way when I was packing items, slowing me down and making it harder to pack.\rYet when we had one shift alone, I made a mistake when resizing a box. She had spent most of that time listening to podcasts and completely ignoring me...and of course she screamed at me for five straight minutes when she finally got off her chair. She never apologised, but when a colleague showed up, she spent plenty of time gossiping to them and actually working while ignoring me.\r The following day, my shift was at first cut down by two hours and then cancelled with no warning, even though I had already arrived and my commute was known to be long. I was put on shifts that began before public transport did, despite it being known this was my form of transport. I had to speak to a manager to finally change my shifts and this bullying supervisor and her friend still put me on shifts they knew\xa0-\xa0more...
4589	A typical shift would include, opening all registers in the store and making sure all correct money was in each one. Turning on the machines used in the print and copy area. Setting up any kind of displays that would be needed for the day, (i.e. laptops opened and switched on, photo print machines switched on, taking out any signage or stock to the front of the store). I would typically complete any print and copy jobs for customers, this includes both booked jobs and walk ins. Help customers with anything in the store. Serve customers on registers. And if I was on a late shift, I would have to close all registers and put away and count up the money at the end of the night. Turn off any machines or equipment. Bring stock and signage in from the front. Close laptops. Close and lock up the roller door. \rI learnt about printing, binding, laminating, making banners, photos, using a guillotine, taking passport photos. I learnt about technology specifications, and how best to help customers in choosing the right thing. How to do all the banking in the store, what was needed for each till. How to do back to school booklists. And a lot of other small things. \rIn general management of the store was okay. There was a lot of passing of the buck and not much leadership. This is the main reason I left the employment of Officeworks. \rAll staff were friendly, it was like a small family. \rThe hardest part of my job was actually working with my partner at the time, and we also split up will working together. Never again. \rThe most enjoyable part of my job was doing printing jobs. I loved\xa0-\xa0more...
316	A typical day at Target would begin with starting off your shift getting rid of any returns that have come from refunds, lay by or fitting rooms. These returns are to be put back in their designated areas and then after this follows the process of putting new stock out, changing back walls and front ends to new stock, price pointing merchandise and putting up POP (point of sale signs) if you have moved stock or put new stock out the signs must match the merchandise on display. After you have gotten as much stock done as you could manage leaving yourself enough time for a closing routine (3-4 hours) to detail your closing routine is usually enough. Throughout this process of cleaning you are also picking up items off the floor all day and serving customers as well as responding to code 1's (to assist register operators if the line is long) and also making sales on the floor by serving customers to the best of your ability. Even if it means going upstairs or to the back to get new stock if we dont have the right size on the selling floor or the item may be damaged. \rThroughout my 3 years at Target I have gained astonishing customer service skills and have learned how to merchandise apparel properly as well as hard goods. I know how to work in every department in the store and register operate. Management have guided me through learning all these steps and are extremely supportive and show gratitude towards the work done and show that they are proud of our accomplishments. \rThe hardest part of the job would probably be when it comes to a busy day and you have to clean as well\xa0-\xa0more...
1578	Pretty good working environment and definitely a good first job, however it takes about a year to really start working here as the training is poor, they just stick you in front of a computer when you first get a job for hours and don’t actually give you any practical training, at least in presentation work. Management can be poor at times at my place of work, however some team members can be difficult, especially the newest employees who rarely ever call in if they aren’t coming to work and just don’t show up leaving the managers quite stressed. Our particular store has a no talking rule which is a bit unfair as it is only our store who enforced it and basically forces us to be very isolated during our shifts even though we are meant to be a “team”. The pay is very good and customers are usually tolerable however you witness some violent behaviour from customers and team members have even become victims of violence from customers but the managers are very understanding in situations like these and offer all the assistance they can and always make sure they’re employees are okay and put measures into place to keep team members safe. As you get older you tend to get less shifts if you remain a casual team member and the shifts are short. I haven’t come across any opportunities for advancement to higher roles. Kmart is a good first job as you always get paid correctly and on time and you get short shifts and they are very flexible with other commitments, however there is very little opportunity to advance in this job, management can be poor and experience with customers can be\xa0-\xa0more...
2541	This was my first job in Australia. My day began a with a briefing; I would meet with the manager and discuss what needed to be done for the day ahead. I was in charge of the Christmas Section which was a mess initially when i began with the company. Within a week, by working a lot of overtime. I was able to change the whole outlook of the Christmas section, I have excellent organisational skills so I used this to make the section more approachable for the customers. I was congratulated by management which I appreciated. I also helped with checkout staff during the busy Christmas period\rI learned that I had the intelligence, hard work and organisational skills required to succeed with any environment. \rManagement within the company helped me a lot, although they did tell me day to day what to do, they always listened to what I had to say or if I felt something could be changed for better sales they would listen, and either agree or disagree. they made my first experience in a Australian workplace a happy experience.\rCo-workers in Kmart are fantastic, there is a real sense of being part of a team. Which is essential for any working environment.\rThe hardest part of my job was maintaining the Christmas section shelves. Because it was so busy items would often sell and then it was my job to replace them, and because most items where just seasonal, often I would need to put new items on the shelves to replace the old. Therefore needing to change the signs and pricing.\rThe most enjoyable part was working with the customers, they are the ones who kept me in the job therefore I\xa0-\xa0more...
2447	I work as a Causal in sections of the store. The first is Apparel where I sort through items people have tired on, return good to there locations, order or print missing labels for stock, order fill for empty stock, fill empty locations, interact with customers who are looking for particular items or asking about ordering stock, ordering stock for customers, mark down odd or damaged stock as well as any other jobs asked of me by a manager. \rThe second location I work in is Checkouts where I serve customers, collect, count and return money(change), fill empty stock, provide customer assistance for locations of stock and if necessary call employees to assist with finding, moving and buying the stock. As well as, during period of quiet, being sent to work in different sections completing any jobs they need help with, e.g. Replenishment: putting out stock in the general merchandise area of the store\rI also work with other managers to assist with any thing they require and I am often called in for shifts which, as long as I haven't made plans, I attend. They can be anything from 3 days in advance warning to immediate start.\rI work with a wonderful team of adults (17+) on the day shift and I also work with the night staff who range from 14-20yrs of age. As well as 6 managers, including a Store Manager, for different sections, I work for 3 different ones depending on the location I am asked to work in. I get along really well with all of the team members that I work with.\rThe most enjoyable thing about my job is it is always different, not just what I do but because I interact\xa0-\xa0more...
