,country,founded,id,industry,linkedin_url,locality,name,region,size,website
1265,australia,,fletcher-insulation,building materials,linkedin.com/company/fletcher-insulation,,fletcher insulation,,201-500,insulation.com.au
1972,australia,1928.0,west-australian-symphony-orchestra,performing arts,linkedin.com/company/west-australian-symphony-orchestra,,west australian symphony orchestra,,201-500,waso.com.au
2221,australia,2007.0,otpl-pty-ltd-,information technology and services,linkedin.com/company/otpl-pty-ltd-,,optimal transnational pty. ltd.,,501-1000,optimaltransnational.com.au
3887,australia,2006.0,resource-cornerit,information technology and services,linkedin.com/company/resource-cornerit,,resource corner,new south wales,201-500,resourcecornerit.com
4202,new zealand,,northpower,utilities,linkedin.com/company/northpower,,northpower,,1001-5000,northpower.com
4321,australia,1998.0,sportingbet,gambling & casinos,linkedin.com/company/sportingbet,,sportingbet,,201-500,sportingbet.com
5051,australia,1982.0,vibe-hotels,hospitality,linkedin.com/company/vibe-hotels,ultimo,vibe hotels,new south wales,1001-5000,vibehotels.com
8435,new zealand,1909.0,presbyterian-support-central,non-profit organization management,linkedin.com/company/presbyterian-support-central,thorndon,presbyterian support central,wellington,501-1000,psc.org.nz
8593,australia,,judo,sports,linkedin.com/company/judo,,judo,,201-500,judoaustralia.com.au
11370,new zealand,,gghs,education management,linkedin.com/company/gghs,,gghs,,501-1000,gghs.school.nz
15463,australia,2015.0,community-living-australia,non-profit organization management,linkedin.com/company/community-living-australia,strathalbyn,community living australia,south australia,501-1000,claust.com.au
15473,australia,1985.0,gjk-facility-services,facilities services,linkedin.com/company/gjk-facility-services,collingwood,gjk facility services,victoria,1001-5000,gjkfacilityservices.com.au
16652,australia,1990.0,westrac,machinery,linkedin.com/company/westrac,,westrac cat,,1001-5000,westrac.com.au
17820,australia,1978.0,aig-security,security and investigations,linkedin.com/company/aig-security,,aig security,victoria,201-500,aigsecurity.com.au
20450,australia,1927.0,the-australian-federation-of-medical-women-afmw-,non-profit organization management,linkedin.com/company/the-australian-federation-of-medical-women-afmw-,,the australian federation of medical women (afmw),,201-500,afmw.org.au
20480,australia,,office-of-the-prime-minister-of-australia,government administration,linkedin.com/company/office-of-the-prime-minister-of-australia,,office of the prime minister of australia,act,201-500,pm.gov.au
21268,australia,1976.0,arc-disability-services-inc-,non-profit organization management,linkedin.com/company/arc-disability-services-inc-,brinsmead,arc disability services inc.,queensland,201-500,arcinc.org.au
21870,australia,2005.0,saltwater-properties,hospitality,linkedin.com/company/saltwater-properties,melbourne,saltwater hotels & resorts,victoria,201-500,saltwaterhotels.com.au
25058,australia,1895.0,the-gabba,events services,linkedin.com/company/the-gabba,brisbane,the gabba,queensland,1001-5000,thegabba.org.au
25155,australia,,citect,computer software,linkedin.com/company/citect,,citect,,201-500,citect.com
25826,new zealand,2003.0,new-zealand-racing-board,entertainment,linkedin.com/company/new-zealand-racing-board,lower hutt,new zealand racing board,wellington,501-1000,nzracingboard.co.nz
27298,australia,2014.0,360healthcommunity,"health, wellness and fitness",linkedin.com/company/360healthcommunity,geraldton,360 health + community,western australia,201-500,360.org.au
27317,australia,2005.0,australian-technical-&-management-college,higher education,linkedin.com/company/australian-technical-&-management-college,melbourne,australian technical & management college (atmc),victoria,201-500,atmc.edu.au
28569,australia,2019.0,national-indigenous-australians-agency,government administration,linkedin.com/company/national-indigenous-australians-agency,canberra,national indigenous australians agency,act,1001-5000,niaa.gov.au
29167,australia,2018.0,dreampathrecruitment,staffing and recruiting,linkedin.com/company/dreampathrecruitment,springwood,dreampath recruitment,queensland,1001-5000,dreampath.com.au
29845,australia,2006.0,custom-equity,financial services,linkedin.com/company/custom-equity,,custom equity group | mortgage aggregation | broker services,,201-500,customequitygroup.com.au
