index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
2221,australia,2007.0,otpl-pty-ltd-,information technology and services,linkedin.com/company/otpl-pty-ltd-,,optimal transnational pty. ltd.,,501-1000,optimaltransnational.com.au
5051,australia,1982.0,vibe-hotels,hospitality,linkedin.com/company/vibe-hotels,ultimo,vibe hotels,new south wales,1001-5000,vibehotels.com
15463,australia,2015.0,community-living-australia,non-profit organization management,linkedin.com/company/community-living-australia,strathalbyn,community living australia,south australia,501-1000,claust.com.au
15473,australia,1985.0,gjk-facility-services,facilities services,linkedin.com/company/gjk-facility-services,collingwood,gjk facility services,victoria,1001-5000,gjkfacilityservices.com.au
16652,australia,1990.0,westrac,machinery,linkedin.com/company/westrac,,westrac cat,,1001-5000,westrac.com.au
25058,australia,1895.0,the-gabba,events services,linkedin.com/company/the-gabba,brisbane,the gabba,queensland,1001-5000,thegabba.org.au
28569,australia,2019.0,national-indigenous-australians-agency,government administration,linkedin.com/company/national-indigenous-australians-agency,canberra,national indigenous australians agency,act,1001-5000,niaa.gov.au
29167,australia,2018.0,dreampathrecruitment,staffing and recruiting,linkedin.com/company/dreampathrecruitment,springwood,dreampath recruitment,queensland,1001-5000,dreampath.com.au
30331,australia,1998.0,victory-motorcycles-australia,automotive,linkedin.com/company/victory-motorcycles-australia,,victory & indian motorcycle australia,,5001-10000,victorymotorcycles.com.au
36184,australia,,ausnetservices,utilities,linkedin.com/company/ausnetservices,,ausnet services,,1001-5000,ausnetservices.com.au
37746,australia,1986.0,australian-home-care,non-profit organization management,linkedin.com/company/australian-home-care,,australian home care,,1001-5000,ahcs.org.au
47243,australia,,adt-security-australia,security and investigations,linkedin.com/company/adt-security-australia,,adt security australia,,501-1000,adtsecurity.com.au
50161,australia,1860.0,dowell-windows-pty-ltd,building materials,linkedin.com/company/dowell-windows-pty-ltd,,dowell windows pty ltd,,501-1000,dowell.com.au
52869,australia,,gadens-lawyers,law practice,linkedin.com/company/gadens-lawyers,,gadens,,501-1000,gadens.com
53997,australia,1999.0,the-nova-group-of-companies,management consulting,linkedin.com/company/the-nova-group-of-companies,,the nova group of companies,south australia,501-1000,novagroup.com.au
59168,australia,1908.0,soprema-australia,building materials,linkedin.com/company/soprema-australia,,soprema australia,,1001-5000,soprema.com.au
