,country,founded,id,industry,linkedin_url,locality,name,region,size,website
1370,united states,,joyson-safety-systems,automotive,linkedin.com/company/joyson-safety-systems,auburn hills,joyson safety systems,michigan,10001+,joysonsafety.com
2206,united states,,airdrop-academy,marketing and advertising,linkedin.com/company/airdrop-academy,las vegas,crypto airdrop academy,nevada,10001+,airdrop.academy
4506,united states,,saint-francis-medical-group,hospital & health care,linkedin.com/company/saint-francis-medical-group,hartford,saint francis medical group,connecticut,10001+,stfranciscare.org
7401,united states,2000.0,synchrono,computer software,linkedin.com/company/synchrono,,synchrono,minnesota,10001+,synchrono.com
7599,united states,1967.0,the-buckle,retail,linkedin.com/company/the-buckle,kearney,"the buckle, inc.",nebraska,10001+,buckle.com
9298,united states,1951.0,minebeamitsumi-aerospace,aviation & aerospace,linkedin.com/company/minebeamitsumi-aerospace,peterborough,minebeamitsumi aerospace,new hampshire,10001+,minebeamitsumi-aerospace.com
12556,united states,1955.0,nypro,plastics,linkedin.com/company/nypro,st. petersburg,"nypro, a jabil company",florida,10001+,nypro.com
14420,united states,1971.0,quadgraphics,printing,linkedin.com/company/quadgraphics,sussex,quad/graphics,wisconsin,10001+,qg.com
15331,united states,1950.0,dunkin-donuts,food & beverages,linkedin.com/company/dunkin-donuts,canton,dunkin donuts,massachusetts,10001+,dunkindonuts.com
15538,united states,1997.0,probuild-holdings,building materials,linkedin.com/company/probuild-holdings,dallas,probuild holdings,texas,10001+,probuild.com
16604,united states,,ipsos-marketing-us,market research,linkedin.com/company/ipsos-marketing-us,new york,ipsos marketing us,new york,10001+,innovationpov.com
19107,united states,1976.0,jason's-deli,restaurants,linkedin.com/company/jason's-deli,beaumont,jason's deli,texas,10001+,jasonsdeli.com
19476,united states,,dallasbusinessclub,executive office,linkedin.com/company/dallasbusinessclub,dallas,dallas business club,texas,10001+,dallasbusinessclub.com
23782,united states,1970.0,us-epa,government administration,linkedin.com/company/us-epa,washington,us environmental protection agency (epa),district of columbia,10001+,epa.gov
25350,united states,1980.0,american-woodmark,building materials,linkedin.com/company/american-woodmark,winchester,american woodmark,virginia,10001+,americanwoodmark.com
27039,united states,1885.0,stanford-health-care,hospital & health care,linkedin.com/company/stanford-health-care,palo alto,stanford health care,california,10001+,stanfordhealthcare.org
37356,united states,1914.0,merrilllynch,financial services,linkedin.com/company/merrilllynch,new york,merrill lynch,new york,10001+,ml.com
38146,united states,,towerhealth,"health, wellness and fitness",linkedin.com/company/towerhealth,west reading,tower health,pennsylvania,10001+,towerhealth.org
42646,united states,2016.0,weareeverise,outsourcing/offshoring,linkedin.com/company/weareeverise,tucson,everise,arizona,10001+,weareeverise.com
43853,united states,1930.0,hy-vee,supermarkets,linkedin.com/company/hy-vee,west des moines,"hy-vee, inc.",iowa,10001+,hy-vee.com
45210,united states,1985.0,quicken-loans,financial services,linkedin.com/company/quicken-loans,detroit,quicken loans,michigan,10001+,quickenloans.com
45277,united states,1985.0,white-lodging-services,hospitality,linkedin.com/company/white-lodging-services,merrillville,white lodging services,indiana,10001+,whitelodging.com
46929,united states,1909.0,clark-county,government administration,linkedin.com/company/clark-county,las vegas,clark county,nevada,10001+,clarkcountynv.gov
47340,united states,2019.0,united-states-space-force,defense & space,linkedin.com/company/united-states-space-force,washington,united states space force,district of columbia,10001+,spaceforce.mil
47503,united states,2004.0,ggk-tech,information technology and services,linkedin.com/company/ggk-tech,duluth,ggk tech,georgia,10001+,ggktech.com
50550,united states,,ctfo-changing-the-future-outcome,"health, wellness and fitness",linkedin.com/company/ctfo-changing-the-future-outcome,vacaville,ctfo- changing the future outcome,california,10001+,myctfocbd.com
52473,united states,1900.0,cpg-professional-networks,consumer goods,linkedin.com/company/cpg-professional-networks,new orleans,cpg professional networks,louisiana,10001+,cpgprofessionalnetworks.com
52829,united states,1937.0,nippon-express-group,transportation/trucking/railroad,linkedin.com/company/nippon-express-group,long island city,nippon express group,new york,10001+,nipponexpress.com
55084,united states,1875.0,prudential-financial,financial services,linkedin.com/company/prudential-financial,newark,prudential financial,new jersey,10001+,prudential.com
57914,united states,1978.0,bj's-restaurants-inc-,restaurants,linkedin.com/company/bj's-restaurants-inc-,huntington beach,"bj's restaurants, inc.",california,10001+,bjsrestaurants.com
58438,united states,1855.0,crane-fluid-handling,oil & energy,linkedin.com/company/crane-fluid-handling,,crane fluid handling,,10001+,cranevalve.com
58618,united states,2000.0,qualcomm-ventures,venture capital & private equity,linkedin.com/company/qualcomm-ventures,san diego,qualcomm ventures,california,10001+,qualcommventures.com
58811,united states,1946.0,lowe's-home-improvement,retail,linkedin.com/company/lowe's-home-improvement,mooresville,"lowe's companies, inc.",north carolina,10001+,lowes.com
59093,united states,1972.0,lowe-realestate,real estate,linkedin.com/company/lowe-realestate,los angeles,lowe enterprises,california,10001+,lowe-re.com
59624,united states,,united-association,government relations,linkedin.com/company/united-association,,united association,maryland,10001+,ua.org
62556,united states,1997.0,csusahq,education management,linkedin.com/company/csusahq,fort lauderdale,charter schools usa,florida,10001+,charterschoolsusa.com
64702,united states,1969.0,danaher,electrical/electronic manufacturing,linkedin.com/company/danaher,washington,danaher corporation,district of columbia,10001+,danaher.com
64872,united states,,otg,professional training & coaching,linkedin.com/company/otg,holladay,otg,utah,10001+,oneteamglobal.com
65074,united states,1983.0,lenscrafters,retail,linkedin.com/company/lenscrafters,cincinnati,lenscrafters,ohio,10001+,lenscrafters.com
65140,united states,2000.0,opinion-diagnostics,hospital & health care,linkedin.com/company/opinion-diagnostics,,opinion diagnostics,california,10001+,opiniondx.com
67094,united states,1999.0,exl-service,outsourcing/offshoring,linkedin.com/company/exl-service,new york,exl,new york,10001+,exlservice.com
67153,united states,2005.0,north-american-customer-service-management-association-nacsma.org-,management consulting,linkedin.com/company/north-american-customer-service-management-association-nacsma.org-,scottsdale,north american customer service management association (nacsma.org),arizona,10001+,northamericancustomerservicemanagementassociation.com
69720,united states,1928.0,cwea-california,environmental services,linkedin.com/company/cwea-california,oakland,california water environment association (cwea),california,10001+,cwea.org
70996,united states,1943.0,plygem,building materials,linkedin.com/company/plygem,cary,ply gem,north carolina,10001+,plygem.com
71793,united states,1874.0,bank-of-the-west,banking,linkedin.com/company/bank-of-the-west,san francisco,bank of the west,california,10001+,bankofthewest.com
72093,united states,1974.0,pthomecare,hospital & health care,linkedin.com/company/pthomecare,lake success,personal touch home care,new york,10001+,pthomecare.com
73631,united states,1935.0,phoenix-sky-harbor-international-airport,airlines/aviation,linkedin.com/company/phoenix-sky-harbor-international-airport,phoenix,phoenix sky harbor international airport,arizona,10001+,skyharbor.com
76346,united states,1981.0,hugh's-culinary,food & beverages,linkedin.com/company/hugh's-culinary,oakland park,hugh's culinary,florida,10001+,hughscatering.com
80997,united states,,smith-international,oil & energy,linkedin.com/company/smith-international,,smith international,,10001+,smith.com
89295,united states,1930.0,ametekecp,electrical/electronic manufacturing,linkedin.com/company/ametekecp,montvale,ametek hcc interconnect technologies,new jersey,10001+,ametek-ecp.com
89351,united states,1908.0,dormakabaamericas,building materials,linkedin.com/company/dormakabaamericas,indianapolis,dormakaba americas,indiana,10001+,dormakaba.us
92456,united states,1990.0,i-95-corridor-coalition,transportation/trucking/railroad,linkedin.com/company/i-95-corridor-coalition,rockville,i-95 corridor coalition,maryland,10001+,i95coalition.org
93788,united states,1932.0,guardian-industries,"glass, ceramics & concrete",linkedin.com/company/guardian-industries,auburn hills,guardian industries,michigan,10001+,guardian.com
94575,united states,2008.0,install-it-today,consumer services,linkedin.com/company/install-it-today,minneapolis,install it today,minnesota,10001+,installittoday.com
97732,united states,1924.0,mdu-resources-group-inc.,oil & energy,linkedin.com/company/mdu-resources-group-inc.,bismarck,"mdu resources group, inc.",north dakota,10001+,mdu.com
98508,united states,1968.0,intel-corporation,semiconductors,linkedin.com/company/intel-corporation,santa clara,intel corporation,california,10001+,intel.com
99282,united states,2019.0,clarios,automotive,linkedin.com/company/clarios,milwaukee,clarios,wisconsin,10001+,clarios.com
100491,united states,2013.0,trusourcelabs,information technology and services,linkedin.com/company/trusourcelabs,austin,trusource labs,texas,10001+,trusourcelabs.com
105113,united states,1928.0,brookshire-grocery-company,retail,linkedin.com/company/brookshire-grocery-company,tyler,brookshire grocery company,texas,10001+,brookshires.com
105427,united states,1879.0,chevron,oil & energy,linkedin.com/company/chevron,san ramon,chevron,california,10001+,chevron.com
107608,united states,,wwecare.org,education management,linkedin.com/company/wwecare.org,saratoga,wwecare.org,california,10001+,wwecare.org
109051,united states,1997.0,united-rentals,construction,linkedin.com/company/united-rentals,stamford,united rentals,connecticut,10001+,unitedrentals.com
110118,united states,,badgersolutions,retail,linkedin.com/company/badgersolutions,nicholasville,badger technologies,kentucky,10001+,badger-technologies.com
111408,united states,1981.0,guess-,retail,linkedin.com/company/guess-,los angeles,"guess?, inc.",california,10001+,guess.com
114352,united states,2008.0,aryzta-llc,food production,linkedin.com/company/aryzta-llc,chicago,aryzta,illinois,10001+,aryztaamericas.com
116024,united states,1903.0,rockwell-automation,industrial automation,linkedin.com/company/rockwell-automation,milwaukee,rockwell automation,wisconsin,10001+,rockwellautomation.com
