index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
2221,optimal transnational pty. ltd.,information technology and services,nan,501-1000,2007.0,linkedin.com/company/otpl-pty-ltd-,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0], [0.29, 0.29, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/golden-circle-433858/reviews']}"
5051,vibe hotels,hospitality,new south wales,1001-5000,1982.0,linkedin.com/company/vibe-hotels,,0,https://www.seek.com.au/companies/vibe-hotels-753406/reviews,7,7,Unknown,"[[0, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/vibe-hotels-753406/reviews']}"
15463,community living australia,non-profit organization management,south australia,501-1000,2015.0,linkedin.com/company/community-living-australia,https://au.indeed.com/cmp/Community-Living-Australia/reviews,8,https://www.seek.com.au/companies/community-living-australia-899206/reviews,6,14,Unknown,"[[0.86, 0, 0, 0, 0, 0.49], [0, 0.81, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Community-Living-Australia/reviews', 'https://au.indeed.com/cmp/Independent-Community-Living-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/community-living-australia-899206/reviews']}"
15473,gjk facility services,facilities services,victoria,1001-5000,1985.0,linkedin.com/company/gjk-facility-services,,0,https://www.seek.com.au/companies/gjk-facility-services-834413/reviews,20,20,Unknown,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0.58]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/gjk-facility-services-834413/reviews']}"
16652,westrac cat,machinery,nan,1001-5000,1990.0,linkedin.com/company/westrac,https://au.indeed.com/cmp/Westrac/reviews,52,https://www.seek.com.au/companies/westrac-432425/reviews,239,291,Unknown,"[[0.75, 0, 0, 0, 0, 0], [0.67, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Westrac/reviews'], 'seek': ['https://www.seek.com.au/companies/westrac-432425/reviews']}"
25058,the gabba,events services,queensland,1001-5000,1895.0,linkedin.com/company/the-gabba,https://au.indeed.com/cmp/O'brien-Group-(gabba-Stadium)/reviews,2,https://www.seek.com.au/companies/the-gabba-795828/reviews,3,5,Unknown,"[[0, 0.44, 0, 0, 0.14, 0], [0.73, 0, 0, 0.21, 0, 0]]","{'indeed': [""https://au.indeed.com/cmp/O'brien-Group-(gabba-Stadium)/reviews"", ""https://au.indeed.com/cmp/O'brien-Group-Australia/reviews""], 'seek': ['https://www.seek.com.au/companies/the-gabba-795828/reviews', 'https://www.seek.com.au/companies/brisbane-markets-limited-814540/reviews']}"
28569,national indigenous australians agency,government administration,act,1001-5000,2019.0,linkedin.com/company/national-indigenous-australians-agency,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': []}"
29167,dreampath recruitment,staffing and recruiting,queensland,1001-5000,2018.0,linkedin.com/company/dreampathrecruitment,https://au.indeed.com/cmp/Programmed/reviews,169,,0,169,Unknown,"[[0.49, 0.4, 0.28, 0.29, 0, 0.2], [0.34, 0, 0, 0, 0.3, 0.2]]","{'indeed': ['https://au.indeed.com/cmp/Programmed/reviews', 'https://au.indeed.com/cmp/Sa-Health/reviews', 'https://au.indeed.com/cmp/Australia-Post/reviews', 'https://au.indeed.com/cmp/Concentrix/reviews', 'https://au.indeed.com/cmp/Workforce-International/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/pathtech-946999/reviews', 'https://www.seek.com.au/companies/careers-australia-433152/reviews']}"
30331,victory & indian motorcycle australia,automotive,nan,5001-10000,1998.0,linkedin.com/company/victory-motorcycles-australia,https://www.indeed.com/cmp/Indian-Motorcycle/reviews,0,https://www.seek.com.au/companies/motorcycle-holdings-939464/reviews,21,21,Unknown,"[[0.42, 0.59, 0.41, 0.4, 0, 0.26], [0.54, 0.31, 0, 0, 0.08, 0.11]]","{'indeed': ['https://au.indeed.com/cmp/Melbourne-Victory/reviews', 'https://www.indeed.com/cmp/Indian-Motorcycle/reviews', 'https://au.indeed.com/cmp/Victory-College/reviews', 'https://au.indeed.com/cmp/Victory-Hotel/reviews', 'https://au.indeed.com/cmp/A1-Motor-Cycles/reviews'], 'seek': ['https://www.seek.com.au/companies/motorcycle-holdings-939464/reviews', 'https://www.seek.com.au/companies/winning-group-436752/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/online-education-services-986010/reviews']}"
36184,ausnet services,utilities,nan,1001-5000,nan,linkedin.com/company/ausnetservices,https://au.indeed.com/cmp/Ausnet-Services/reviews,7,https://www.seek.com.au/companies/ausnet-services-433075/reviews,59,66,Unknown,"[[0.56, 0.8, 0.6, 0, 0, 0], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Sp-Ausnet/reviews', 'https://au.indeed.com/cmp/Ausnet-Services/reviews', 'https://au.indeed.com/cmp/Aestec-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/ausnet-services-433075/reviews']}"
37746,australian home care,non-profit organization management,nan,1001-5000,1986.0,linkedin.com/company/australian-home-care,https://au.indeed.com/cmp/Australian-Home-Care/reviews,24,https://www.seek.com.au/companies/australian-home-care-434283/reviews,41,65,Unknown,"[[0.81, 0.66, 0.51, 0.45, 0, 0], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Australian-Home-Care/reviews', 'https://au.indeed.com/cmp/Australian-Home-Care-Services/reviews', 'https://au.indeed.com/cmp/Homecare-Australia/reviews', 'https://au.indeed.com/cmp/Home-Care-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/australian-home-care-434283/reviews']}"
47243,adt security australia,security and investigations,nan,501-1000,nan,linkedin.com/company/adt-security-australia,https://au.indeed.com/cmp/Adt-Security-Services/reviews,18,https://www.seek.com.au/companies/adt-security-433309/reviews,20,38,Unknown,"[[0.63, 0, 0, 0, 0, 0], [0.65, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Adt-Security-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/adt-security-433309/reviews']}"
50161,dowell windows pty ltd,building materials,nan,501-1000,1860.0,linkedin.com/company/dowell-windows-pty-ltd,https://au.indeed.com/cmp/Dowell-Windows/reviews,7,https://www.seek.com.au/companies/dowell-windows-435609/reviews,51,58,Unknown,"[[0.71, 0.47, 0, 0, 0, 0], [0, 0.65, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Dowell-Windows/reviews', 'https://au.indeed.com/cmp/Dowell/reviews'], 'seek': ['https://www.seek.com.au/companies/dowell-windows-435609/reviews']}"
52869,gadens,law practice,nan,501-1000,nan,linkedin.com/company/gadens-lawyers,https://au.indeed.com/cmp/Gadens-Lawyers/reviews,8,https://www.seek.com.au/companies/gadens-lawyers-433038/reviews,36,44,Unknown,"[[0.62, 0, 0, 0, 0, 0], [0.58, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Gadens-Lawyers/reviews'], 'seek': ['https://www.seek.com.au/companies/gadens-lawyers-433038/reviews']}"
