index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,glassdoor_url,glassdoor_reviews,total_reviews,correct,scores,valid_urls,linkedin_bool
5051,vibe hotels,hospitality,new south wales,1001-5000,1982.0,linkedin.com/company/vibe-hotels,https://www.indeed.com/cmp/Vibe-Hotel/reviews,6,https://www.seek.com.au/companies/vibe-hotels-753406/reviews,7,,0,13,Unknown,"[[0, 0, 0.65, 0, 0.29, 0, 0.06], [0.77, 0, 0, 0, 0, 0, 0], [0, 0.2, 0, 0, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Vibe-Hotel/reviews', 'https://au.indeed.com/cmp/Seaworld/reviews', 'https://au.indeed.com/cmp/Qld/reviews'], 'seek': ['https://www.seek.com.au/companies/vibe-hotels-753406/reviews'], 'glassdoor': []}",1
15473,gjk facility services,facilities services,victoria,1001-5000,1985.0,linkedin.com/company/gjk-facility-services,https://au.indeed.com/cmp/Gjk-Facility-Services/reviews,22,https://www.seek.com.au/companies/gjk-facility-services-834413/reviews,20,https://www.glassdoor.com.au/Reviews/GJK-Facility-Services-Reviews-E649940.htm,0,42,Unknown,"[[0, 0, 0, 0, 0, 0.57, 0], [0, 0, 0.73, 0, 0, 0, 0], [0.75, 0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Gjk-Facility-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/gjk-facility-services-834413/reviews'], 'glassdoor': []}",1
16652,westrac cat,machinery,,1001-5000,1990.0,linkedin.com/company/westrac,https://au.indeed.com/cmp/Westrac/reviews,55,https://www.seek.com.au/companies/westrac-432425/reviews,242,https://www.glassdoor.com.au/Reviews/WesTrac-Reviews-E696734.htm,0,297,Unknown,"[[0.75, 0, 0, 0, 0, 0, 0], [0.67, 0, 0], [0.67, 0.62, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Westrac/reviews'], 'seek': ['https://www.seek.com.au/companies/westrac-432425/reviews'], 'glassdoor': []}",1
25058,the gabba,events services,queensland,1001-5000,1895.0,linkedin.com/company/the-gabba,,0,https://www.seek.com.au/companies/the-gabba-795828/reviews,3,,0,3,Unknown,"[[0, 0, 0, 0.19, 0, 0, 0], [0.73, 0, 0], [0, 0, 0, 0.19]]","{'indeed': [""https://au.indeed.com/cmp/O'brien-Group-Australia/reviews""], 'seek': ['https://www.seek.com.au/companies/the-gabba-795828/reviews'], 'glassdoor': []}",1
28569,national indigenous australians agency,government administration,act,1001-5000,2019.0,linkedin.com/company/national-indigenous-australians-agency,,0,,0,,0,0,Unknown,"[[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': [], 'glassdoor': []}",1
29167,dreampath recruitment,staffing and recruiting,queensland,1001-5000,2018.0,linkedin.com/company/dreampathrecruitment,,0,,0,,0,0,Unknown,"[[0.31, 0.36, 0.27, 0.32, 0.24, 0.19, 0.14], [0.34, 0, 0], [0.36, 0, 0.34, 0, 0.17, 0.0, 0.16]]","{'indeed': ['https://au.indeed.com/cmp/Hays/reviews', 'https://au.indeed.com/cmp/Randstad/reviews', 'https://au.indeed.com/cmp/Myer/reviews', 'https://au.indeed.com/cmp/Path4-Group-2/reviews', 'https://au.indeed.com/cmp/Concentrix/reviews', 'https://au.indeed.com/cmp/Techforce-Personnel/reviews', 'https://au.indeed.com/cmp/Probe-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews'], 'glassdoor': []}",1
30331,victory & indian motorcycle australia,automotive,,5001-10000,1998.0,linkedin.com/company/victory-motorcycles-australia,,0,,0,,0,0,Unknown,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]","{'indeed': [], 'seek': [], 'glassdoor': []}",1
36184,ausnet services,utilities,,1001-5000,,linkedin.com/company/ausnetservices,https://au.indeed.com/cmp/Ausnet-Services/reviews,7,https://www.seek.com.au/companies/ausnet-services-433075/reviews,78,https://www.glassdoor.com.au/Reviews/SP-Ausnet-Reviews-E197026.htm,0,85,Unknown,"[[0, 0.8, 0.46, 0.55, 0, 0, 0], [0.82, 0, 0, 0, 0, 0, 0], [0.56, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Ausnet-Services/reviews', 'https://au.indeed.com/cmp/Sp-Ausnet/reviews', 'https://au.indeed.com/cmp/Aestec-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/ausnet-services-433075/reviews'], 'glassdoor': []}",1
37746,australian home care,non-profit organization management,,1001-5000,1986.0,linkedin.com/company/australian-home-care,https://au.indeed.com/cmp/Australian-Home-Care/reviews,24,https://www.seek.com.au/companies/australian-home-care-434283/reviews,41,https://www.glassdoor.com.au/Reviews/Right-at-Home-Reviews-E385376.htm,0,65,Unknown,"[[0.81, 0.56, 0.61, 0.45, 0, 0, 0], [0.82, 0, 0.45, 0, 0, 0, 0], [0.48, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Australian-Home-Care/reviews', 'https://au.indeed.com/cmp/Homecare-Australia/reviews', 'https://au.indeed.com/cmp/Australian-Home-Care-Services/reviews', 'https://au.indeed.com/cmp/Home-Care-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/australian-home-care-434283/reviews', 'https://www.seek.com.au/companies/homecare-australia-798251/reviews'], 'glassdoor': []}",1
59168,soprema australia,building materials,,1001-5000,1908.0,linkedin.com/company/soprema-australia,https://www.indeed.com/cmp/Soprema/reviews,0,,0,,0,0,Unknown,"[[0, 0, 0.53, 0, 0, 0, 0], [0, 0, 0.26], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Soprema/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews'], 'glassdoor': []}",0
62821,abn group,construction,,1001-5000,1978.0,linkedin.com/company/abn-group,https://au.indeed.com/cmp/Abn-Group/reviews,14,https://www.seek.com.au/companies/abn-group-806732/reviews,25,https://www.glassdoor.com.au/Reviews/ABN-Group-Reviews-E881003.htm,0,39,Unknown,"[[0.75, 0, 0, 0, 0, 0, 0], [0.73, 0, 0, 0, 0, 0, 0], [0.58, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Abn-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/abn-group-806732/reviews'], 'glassdoor': []}",1
68783,diva,retail,,1001-5000,,linkedin.com/company/diva_2,https://www.indeed.com/cmp/Diva's/reviews,0,,0,https://www.glassdoor.com.au/Reviews/Diva-Reviews-E495193.htm,0,0,Unknown,"[[0.7, 0, 0.41, 0.42, 0, 0, 0], [0, 0.2, 0, 0, 0, 0], [0.81, 0, 0, 0, 0]]","{'indeed': [""https://www.indeed.com/cmp/Diva's/reviews"", 'https://www.indeed.com/cmp/Diva-Espresso/reviews', 'https://www.indeed.com/cmp/Hotel-Diva/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews'], 'glassdoor': []}",1
70310,kamco,information technology and services,victoria,1001-5000,,linkedin.com/company/kamco,https://www.indeed.com/cmp/Kamco/reviews,0,,0,,0,0,Unknown,"[[0.85, 0.49, 0.42, 0, 0, 0.32, 0], [0, 0, 0, 0.19, 0], [0.25, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Kamco/reviews', 'https://www.indeed.com/cmp/Kamco-Industries/reviews', 'https://www.indeed.com/cmp/Kamco-Supply-Corp/reviews', 'https://www.indeed.com/cmp/Kamco-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews'], 'glassdoor': []}",1
73557,victoria police,law enforcement,victoria,10001+,1853.0,linkedin.com/company/victoriapolice,https://au.indeed.com/cmp/Victoria-Police/reviews,57,https://www.seek.com.au/companies/victoria-police-432505/reviews,107,https://www.glassdoor.com.au/Reviews/Victoria-Police-Reviews-E651809.htm,0,164,Unknown,"[[0.85, 0, 0, 0, 0, 0, 0], [0.82, 0, 0, 0, 0, 0, 0], [0.85, 0.8, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Victoria-Police/reviews'], 'seek': ['https://www.seek.com.au/companies/victoria-police-432505/reviews'], 'glassdoor': []}",1
74946,red rooster,restaurants,,5001-10000,1972.0,linkedin.com/company/red-rooster,https://au.indeed.com/cmp/Red-Rooster/reviews,837,https://www.seek.com.au/companies/red-rooster-432308/reviews,300,,0,1137,Unknown,"[[0.8, 0, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Red-Rooster/reviews'], 'seek': ['https://www.seek.com.au/companies/red-rooster-432308/reviews'], 'glassdoor': []}",1
